Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"Control::ComputeRecompilationSet",,,,19,117,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,203,19,117,36,46,70,0,0,29,48,2,68,60,27,2,31,13,13,14,1,1,,,,,0,,8,0,,,0.60,,,,
Private Static Function,"Control::ConvertUnicodeToUtf8",,,,3,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,3,28,3,17,0,0,0,2,5,1,14,18,2,1,15,5,5,5,1,3,,,,,0,,2,0,,,0.00,,,,
Public Function,"Control::ConvertUnicodeToUtf8",,,,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,8,4,4,1,0,0,4,1,0,5,5,3,0,2,1,1,1,1,0,,,,,0,,0,0,,,0.13,,,,
Public Static Function,"Control::ConvertUtf8ToUnicode",,,,2,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,35,2,33,4,24,0,0,0,1,5,1,22,27,3,1,23,5,5,5,1,3,,,,,0,,2,0,,,0.00,,,,
Public Function,"Control::ConvertUtf8ToUnicode",,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,4,5,0,0,0,5,1,0,5,5,3,0,2,1,1,1,1,0,,,,,0,,0,0,,,0.00,,,,
Public Function,"Control::Double",,,,37,250,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,322,37,241,0,0,38,1,8,3,2,0,166,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.16,,,,
Public Function,"Control::Double_TYPE_Field",,,,37,249,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,321,37,240,0,0,38,1,8,4,2,0,165,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.16,,,,
Public Function,"Control::ElementType",,,,37,248,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,320,37,239,0,0,38,1,8,4,2,0,164,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.16,,,,
Public Function,"Control::ElementType_ANNOTATION_TYPE_Field",,,,37,239,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,311,37,230,0,0,38,1,8,4,2,0,157,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.17,,,,
Public Function,"Control::ElementType_CONSTRUCTOR_Field",,,,37,243,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,315,37,234,0,0,38,1,8,4,2,0,159,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,,0.16,,,,
